Week,crochet: (New York),crochet: (California)
1/5/2020,56,44
1/12/2020,53,41
1/19/2020,49,41
1/26/2020,48,33
2/2/2020,42,34
2/9/2020,47,34
2/16/2020,52,37
2/23/2020,49,36
3/1/2020,45,30
3/8/2020,44,30
3/15/2020,45,40
3/22/2020,49,46
3/29/2020,50,53
4/5/2020,54,53
4/12/2020,60,45
4/19/2020,57,50
4/26/2020,55,47
5/3/2020,54,41
5/10/2020,54,39
5/17/2020,48,42
5/24/2020,49,41
5/31/2020,46,35
6/7/2020,44,36
6/14/2020,42,39
6/21/2020,45,39
6/28/2020,45,43
7/5/2020,48,39
7/12/2020,47,40
7/19/2020,46,43
7/26/2020,45,42
8/2/2020,51,44
8/9/2020,48,38
8/16/2020,51,36
8/23/2020,47,37
8/30/2020,48,36
9/6/2020,49,36
9/13/2020,42,40
9/20/2020,52,41
9/27/2020,52,41
10/4/2020,54,41
10/11/2020,56,41
10/18/2020,56,41
10/25/2020,53,39
11/1/2020,49,35
11/8/2020,58,48
11/15/2020,61,49
11/22/2020,60,49
11/29/2020,63,52
12/6/2020,59,53
12/13/2020,64,53
12/20/2020,60,53
12/27/2020,73,60
1/3/2021,61,52
1/10/2021,57,48
1/17/2021,62,51
1/24/2021,70,60
1/31/2021,68,52
2/7/2021,59,52
2/14/2021,61,53
2/21/2021,56,48
2/28/2021,57,46
3/7/2021,58,47
3/14/2021,49,45
3/21/2021,47,46
3/28/2021,53,39
4/4/2021,50,44
4/11/2021,48,39
4/18/2021,43,43
4/25/2021,44,38
5/2/2021,54,39
5/9/2021,45,36
5/16/2021,43,38
5/23/2021,47,43
5/30/2021,50,40
6/6/2021,41,39
6/13/2021,43,39
6/20/2021,44,41
6/27/2021,51,44
7/4/2021,51,44
7/11/2021,48,40
7/18/2021,46,41
7/25/2021,49,44
8/1/2021,52,43
8/8/2021,50,44
8/15/2021,52,43
8/22/2021,51,40
8/29/2021,51,36
9/5/2021,48,41
9/12/2021,48,40
9/19/2021,43,39
9/26/2021,54,39
10/3/2021,52,40
10/10/2021,53,44
10/17/2021,51,42
10/24/2021,52,46
10/31/2021,51,47
11/7/2021,57,49
11/14/2021,59,48
11/21/2021,54,52
11/28/2021,60,51
12/5/2021,58,53
12/12/2021,52,58
12/19/2021,60,63
12/26/2021,64,62
1/2/2022,71,62
1/9/2022,69,65
1/16/2022,65,58
1/23/2022,64,53
1/30/2022,67,57
2/6/2022,65,57
2/13/2022,61,56
2/20/2022,69,57
2/27/2022,58,51
3/6/2022,58,49
3/13/2022,58,53
3/20/2022,59,52
3/27/2022,65,51
4/3/2022,58,51
4/10/2022,50,55
4/17/2022,61,49
4/24/2022,53,49
5/1/2022,56,49
5/8/2022,48,47
5/15/2022,49,53
5/22/2022,52,52
5/29/2022,55,52
6/5/2022,55,55
6/12/2022,57,57
6/19/2022,54,59
6/26/2022,56,60
7/3/2022,56,55
7/10/2022,60,53
7/17/2022,59,55
7/24/2022,56,54
7/31/2022,61,54
8/7/2022,56,58
8/14/2022,60,56
8/21/2022,59,51
8/28/2022,63,49
9/4/2022,55,51
9/11/2022,51,50
9/18/2022,50,53
9/25/2022,59,52
10/2/2022,64,55
10/9/2022,65,48
10/16/2022,65,52
10/23/2022,58,55
10/30/2022,62,51
11/6/2022,63,60
11/13/2022,70,60
11/20/2022,67,68
11/27/2022,69,64
12/4/2022,68,66
12/11/2022,72,76
12/18/2022,74,92
12/25/2022,85,92
1/1/2023,80,84
1/8/2023,73,75
1/15/2023,74,81
1/22/2023,73,71
1/29/2023,75,68
2/5/2023,71,67
2/12/2023,68,64
2/19/2023,80,67
2/26/2023,75,71
3/5/2023,71,72
3/12/2023,76,69
3/19/2023,79,71
3/26/2023,72,73
4/2/2023,75,68
4/9/2023,61,66
4/16/2023,69,67
4/23/2023,68,64
4/30/2023,69,61
5/7/2023,70,70
5/14/2023,72,63
5/21/2023,68,68
5/28/2023,70,73
6/4/2023,72,71
6/11/2023,72,77
6/18/2023,77,78
6/25/2023,85,76
7/2/2023,78,81
7/9/2023,73,74
7/16/2023,71,76
7/23/2023,68,71
7/30/2023,72,68
8/6/2023,72,67
8/13/2023,76,63
8/20/2023,70,65
8/27/2023,72,66
9/3/2023,65,72
9/10/2023,67,66
9/17/2023,61,63
9/24/2023,68,67
10/1/2023,68,68
10/8/2023,72,65
10/15/2023,75,65
10/22/2023,68,67
10/29/2023,70,62
11/5/2023,70,72
11/12/2023,77,78
11/19/2023,82,89
11/26/2023,77,79
12/3/2023,74,85
12/10/2023,77,85
12/17/2023,86,95
12/24/2023,85,100
12/31/2023,80,88
