Week,Platform Sandals: (New York),Platform Sandals: (California)
1/5/2020,19,8
1/12/2020,22,12
1/19/2020,31,12
1/26/2020,19,10
2/2/2020,23,12
2/9/2020,24,12
2/16/2020,33,20
2/23/2020,18,15
3/1/2020,16,24
3/8/2020,30,18
3/15/2020,21,8
3/22/2020,22,15
3/29/2020,17,14
4/5/2020,23,14
4/12/2020,36,14
4/19/2020,29,17
4/26/2020,23,20
5/3/2020,38,20
5/10/2020,36,29
5/17/2020,38,24
5/24/2020,43,31
5/31/2020,36,21
6/7/2020,51,30
6/14/2020,37,37
6/21/2020,47,33
6/28/2020,60,26
7/5/2020,49,29
7/12/2020,50,31
7/19/2020,48,29
7/26/2020,41,22
8/2/2020,38,25
8/9/2020,42,24
8/16/2020,28,22
8/23/2020,41,21
8/30/2020,26,20
9/6/2020,25,26
9/13/2020,25,14
9/20/2020,30,19
9/27/2020,18,20
10/4/2020,20,15
10/11/2020,26,17
10/18/2020,14,20
10/25/2020,13,7
11/1/2020,15,7
11/8/2020,20,10
11/15/2020,23,12
11/22/2020,19,16
11/29/2020,13,10
12/6/2020,15,9
12/13/2020,30,7
12/20/2020,19,12
12/27/2020,27,11
1/3/2021,27,15
1/10/2021,18,11
1/17/2021,22,13
1/24/2021,27,8
1/31/2021,27,11
2/7/2021,28,14
2/14/2021,25,18
2/21/2021,31,17
2/28/2021,37,29
3/7/2021,40,25
3/14/2021,41,24
3/21/2021,47,35
3/28/2021,40,51
4/4/2021,51,44
4/11/2021,47,49
4/18/2021,55,48
4/25/2021,45,50
5/2/2021,65,50
5/9/2021,62,48
5/16/2021,60,43
5/23/2021,57,69
5/30/2021,58,51
6/6/2021,59,53
6/13/2021,69,64
6/20/2021,62,52
6/27/2021,58,61
7/4/2021,62,56
7/11/2021,58,47
7/18/2021,47,50
7/25/2021,51,50
8/1/2021,41,48
8/8/2021,38,48
8/15/2021,40,49
8/22/2021,34,35
8/29/2021,35,44
9/5/2021,27,36
9/12/2021,29,29
9/19/2021,21,26
9/26/2021,26,26
10/3/2021,23,26
10/10/2021,22,22
10/17/2021,23,26
10/24/2021,21,11
10/31/2021,15,17
11/7/2021,0,17
11/14/2021,25,20
11/21/2021,26,22
11/28/2021,26,18
12/5/2021,14,22
12/12/2021,0,16
12/19/2021,19,9
12/26/2021,26,18
1/2/2022,30,16
1/9/2022,14,17
1/16/2022,26,30
1/23/2022,29,26
1/30/2022,23,25
2/6/2022,39,40
2/13/2022,32,37
2/20/2022,39,39
2/27/2022,41,40
3/6/2022,59,54
3/13/2022,47,56
3/20/2022,59,65
3/27/2022,50,65
4/3/2022,73,70
4/10/2022,77,89
4/17/2022,82,80
4/24/2022,78,79
5/1/2022,83,83
5/8/2022,94,79
5/15/2022,92,81
5/22/2022,83,96
5/29/2022,97,86
6/5/2022,88,84
6/12/2022,95,81
6/19/2022,87,75
6/26/2022,79,79
7/3/2022,85,78
7/10/2022,82,80
7/17/2022,66,61
7/24/2022,63,62
7/31/2022,58,68
8/7/2022,60,53
8/14/2022,56,64
8/21/2022,44,53
8/28/2022,44,46
9/4/2022,37,45
9/11/2022,40,41
9/18/2022,26,46
9/25/2022,22,30
10/2/2022,27,24
10/9/2022,25,32
10/16/2022,17,33
10/23/2022,8,24
10/30/2022,19,19
11/6/2022,14,16
11/13/2022,20,16
11/20/2022,11,32
11/27/2022,23,18
12/4/2022,21,16
12/11/2022,22,21
12/18/2022,14,17
12/25/2022,21,27
1/1/2023,22,20
1/8/2023,21,19
1/15/2023,21,19
1/22/2023,32,29
1/29/2023,23,21
2/5/2023,35,27
2/12/2023,28,39
2/19/2023,38,42
2/26/2023,58,34
3/5/2023,48,41
3/12/2023,42,40
3/19/2023,55,48
3/26/2023,49,51
4/2/2023,63,53
4/9/2023,75,58
4/16/2023,69,61
4/23/2023,61,71
4/30/2023,69,68
5/7/2023,100,75
5/14/2023,97,80
5/21/2023,79,76
5/28/2023,98,80
6/4/2023,85,64
6/11/2023,86,82
6/18/2023,78,70
6/25/2023,79,76
7/2/2023,82,75
7/9/2023,73,78
7/16/2023,66,67
7/23/2023,75,65
7/30/2023,54,59
8/6/2023,63,62
8/13/2023,55,52
8/20/2023,45,41
8/27/2023,31,48
9/3/2023,37,45
9/10/2023,24,39
9/17/2023,23,35
9/24/2023,19,24
10/1/2023,19,33
10/8/2023,19,21
10/15/2023,15,23
10/22/2023,20,22
10/29/2023,15,21
11/5/2023,20,22
11/12/2023,17,18
11/19/2023,26,33
11/26/2023,19,17
12/3/2023,14,18
12/10/2023,20,20
12/17/2023,20,16
12/24/2023,26,21
12/31/2023,18,25
