Week,Shirt Jackets: (California),Shirt Jackets: (New York)
2020-01-05,0,0
2020-01-12,0,0
2020-01-19,0,0
2020-01-26,0,0
2020-02-02,29,45
2020-02-09,0,0
2020-02-16,0,0
2020-02-23,0,41
2020-03-01,24,0
2020-03-08,0,0
2020-03-15,0,0
2020-03-22,0,0
2020-03-29,0,0
2020-04-05,0,0
2020-04-12,0,0
2020-04-19,0,0
2020-04-26,0,0
2020-05-03,29,0
2020-05-10,0,0
2020-05-17,23,0
2020-05-24,0,0
2020-05-31,0,0
2020-06-07,0,0
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,0
2020-07-05,0,0
2020-07-12,0,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,0,0
2020-08-23,23,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,27,0
2020-09-20,25,0
2020-09-27,29,64
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,31,0
2020-11-15,31,0
2020-11-22,0,55
2020-11-29,38,63
2020-12-06,31,0
2020-12-13,30,100
2020-12-20,28,0
2020-12-27,27,0
2021-01-03,27,0
2021-01-10,0,0
2021-01-17,0,0
2021-01-24,40,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,35,0
2021-02-28,27,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,0,0
2021-03-28,0,55
2021-04-04,0,0
2021-04-11,0,43
2021-04-18,31,0
2021-04-25,0,0
2021-05-02,0,0
2021-05-09,0,0
2021-05-16,0,0
2021-05-23,0,0
2021-05-30,0,0
2021-06-06,0,0
2021-06-13,0,0
2021-06-20,0,0
2021-06-27,31,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,47,0
2021-08-01,29,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,43,46
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,31,0
2021-10-10,46,79
2021-10-17,40,77
2021-10-24,44,52
2021-10-31,0,0
2021-11-07,0,0
2021-11-14,35,43
2021-11-21,30,0
2021-11-28,33,0
2021-12-05,47,0
2021-12-12,59,57
2021-12-19,0,0
2021-12-26,43,0
2022-01-02,63,53
2022-01-09,0,0
2022-01-16,43,0
2022-01-23,45,60
2022-01-30,30,0
2022-02-06,42,0
2022-02-13,31,0
2022-02-20,26,0
2022-02-27,29,0
2022-03-06,26,0
2022-03-13,0,78
2022-03-20,0,0
2022-03-27,25,0
2022-04-03,0,0
2022-04-10,0,0
2022-04-17,45,0
2022-04-24,23,0
2022-05-01,24,0
2022-05-08,0,0
2022-05-15,0,0
2022-05-22,0,55
2022-05-29,0,0
2022-06-05,0,0
2022-06-12,25,0
2022-06-19,0,60
2022-06-26,0,0
2022-07-03,0,0
2022-07-10,42,0
2022-07-17,0,45
2022-07-24,0,0
2022-07-31,24,52
2022-08-07,0,0
2022-08-14,0,0
2022-08-21,0,0
2022-08-28,30,42
2022-09-04,0,0
2022-09-11,40,0
2022-09-18,0,0
2022-09-25,51,45
2022-10-02,36,79
2022-10-09,38,39
2022-10-16,27,46
2022-10-23,0,59
2022-10-30,54,0
2022-11-06,49,0
2022-11-13,45,0
2022-11-20,53,63
2022-11-27,49,0
2022-12-04,47,0
2022-12-11,56,0
2022-12-18,42,0
2022-12-25,0,0
2023-01-01,34,0
2023-01-08,32,59
2023-01-15,26,0
2023-01-22,23,62
2023-01-29,37,0
2023-02-05,37,0
2023-02-12,0,46
2023-02-19,0,0
2023-02-26,0,37
2023-03-05,0,0
2023-03-12,0,0
2023-03-19,24,0
2023-03-26,0,0
2023-04-02,26,0
2023-04-09,23,0
2023-04-16,0,0
2023-04-23,28,0
2023-04-30,29,0
2023-05-07,54,0
2023-05-14,0,0
2023-05-21,0,0
2023-05-28,28,0
2023-06-04,0,0
2023-06-11,0,0
2023-06-18,0,0
2023-06-25,0,0
2023-07-02,0,0
2023-07-09,0,0
2023-07-16,0,52
2023-07-23,55,0
2023-07-30,0,0
2023-08-06,29,0
2023-08-13,0,0
2023-08-20,0,0
2023-08-27,0,0
2023-09-03,0,43
2023-09-10,0,0
2023-09-17,0,0
2023-09-24,30,0
2023-10-01,0,0
2023-10-08,0,46
2023-10-15,30,83
2023-10-22,0,0
2023-10-29,30,56
2023-11-05,0,0
2023-11-12,32,65
2023-11-19,0,69
2023-11-26,0,0
2023-12-03,49,44
2023-12-10,36,0
2023-12-17,45,0
2023-12-24,0,0
2023-12-31,45,0
