Week,Vintage Thrift: (California),Vintage Thrift: (New York)
2020-01-05,23,93
2020-01-12,19,48
2020-01-19,28,55
2020-01-26,26,43
2020-02-02,20,0
2020-02-09,25,60
2020-02-16,52,51
2020-02-23,0,64
2020-03-01,15,64
2020-03-08,17,58
2020-03-15,0,0
2020-03-22,15,0
2020-03-29,0,0
2020-04-05,0,34
2020-04-12,17,0
2020-04-19,20,0
2020-04-26,0,47
2020-05-03,0,0
2020-05-10,22,0
2020-05-17,24,0
2020-05-24,19,0
2020-05-31,0,0
2020-06-07,45,27
2020-06-14,35,33
2020-06-21,36,39
2020-06-28,25,60
2020-07-05,42,42
2020-07-12,47,58
2020-07-19,47,50
2020-07-26,58,45
2020-08-02,39,52
2020-08-09,57,46
2020-08-16,35,63
2020-08-23,41,71
2020-08-30,31,56
2020-09-06,34,48
2020-09-13,39,66
2020-09-20,34,67
2020-09-27,61,40
2020-10-04,58,40
2020-10-11,33,0
2020-10-18,57,88
2020-10-25,26,56
2020-11-01,15,31
2020-11-08,45,41
2020-11-15,26,40
2020-11-22,31,45
2020-11-29,34,47
2020-12-06,39,56
2020-12-13,27,42
2020-12-20,0,0
2020-12-27,36,60
2021-01-03,36,35
2021-01-10,40,38
2021-01-17,39,0
2021-01-24,27,50
2021-01-31,35,0
2021-02-07,63,0
2021-02-14,40,38
2021-02-21,36,45
2021-02-28,26,44
2021-03-07,49,69
2021-03-14,63,67
2021-03-21,41,0
2021-03-28,42,49
2021-04-04,53,46
2021-04-11,32,49
2021-04-18,30,0
2021-04-25,31,46
2021-05-02,26,42
2021-05-09,39,39
2021-05-16,45,33
2021-05-23,50,0
2021-05-30,33,50
2021-06-06,52,33
2021-06-13,43,63
2021-06-20,51,41
2021-06-27,36,51
2021-07-04,44,84
2021-07-11,41,98
2021-07-18,43,60
2021-07-25,68,42
2021-08-01,23,79
2021-08-08,51,72
2021-08-15,43,99
2021-08-22,46,100
2021-08-29,38,43
2021-09-05,31,64
2021-09-12,38,0
2021-09-19,33,42
2021-09-26,46,59
2021-10-03,37,0
2021-10-10,44,68
2021-10-17,39,60
2021-10-24,35,56
2021-10-31,28,0
2021-11-07,46,54
2021-11-14,38,56
2021-11-21,47,66
2021-11-28,26,43
2021-12-05,31,60
2021-12-12,24,68
2021-12-19,41,67
2021-12-26,47,31
2022-01-02,45,41
2022-01-09,52,70
2022-01-16,22,47
2022-01-23,23,51
2022-01-30,31,58
2022-02-06,31,43
2022-02-13,34,57
2022-02-20,37,86
2022-02-27,35,41
2022-03-06,24,40
2022-03-13,33,60
2022-03-20,40,67
2022-03-27,40,68
2022-04-03,22,67
2022-04-10,37,75
2022-04-17,24,74
2022-04-24,25,60
2022-05-01,50,36
2022-05-08,42,48
2022-05-15,32,62
2022-05-22,40,51
2022-05-29,47,38
2022-06-05,33,0
2022-06-12,56,52
2022-06-19,42,68
2022-06-26,28,64
2022-07-03,52,59
2022-07-10,43,66
2022-07-17,33,68
2022-07-24,59,60
2022-07-31,28,85
2022-08-07,50,65
2022-08-14,41,49
2022-08-21,47,63
2022-08-28,29,63
2022-09-04,56,73
2022-09-11,27,68
2022-09-18,26,60
2022-09-25,29,79
2022-10-02,32,52
2022-10-09,22,37
2022-10-16,35,58
2022-10-23,63,29
2022-10-30,30,0
2022-11-06,23,30
2022-11-13,44,30
2022-11-20,28,39
2022-11-27,18,33
2022-12-04,0,45
2022-12-11,28,29
2022-12-18,54,51
2022-12-25,46,54
2023-01-01,48,0
2023-01-08,37,54
2023-01-15,30,59
2023-01-22,47,80
2023-01-29,32,45
2023-02-05,30,46
2023-02-12,27,87
2023-02-19,42,54
2023-02-26,55,0
2023-03-05,44,34
2023-03-12,47,30
2023-03-19,61,62
2023-03-26,47,46
2023-04-02,35,51
2023-04-09,48,40
2023-04-16,37,54
2023-04-23,38,54
2023-04-30,59,26
2023-05-07,31,46
2023-05-14,16,35
2023-05-21,32,44
2023-05-28,42,0
2023-06-04,23,35
2023-06-11,45,30
2023-06-18,55,54
2023-06-25,43,47
2023-07-02,52,55
2023-07-09,51,47
2023-07-16,43,46
2023-07-23,27,46
2023-07-30,38,48
2023-08-06,43,0
2023-08-13,49,56
2023-08-20,22,41
2023-08-27,42,58
2023-09-03,34,34
2023-09-10,42,56
2023-09-17,36,47
2023-09-24,32,51
2023-10-01,47,62
2023-10-08,49,28
2023-10-15,33,58
2023-10-22,49,69
2023-10-29,22,39
2023-11-05,39,58
2023-11-12,26,52
2023-11-19,45,61
2023-11-26,0,0
2023-12-03,34,60
2023-12-10,42,45
2023-12-17,30,0
2023-12-24,45,31
2023-12-31,23,43
