Week,Y2K: (California),Y2K: (New York)
2020-01-05,12,13
2020-01-12,13,8
2020-01-19,11,11
2020-01-26,12,10
2020-02-02,10,12
2020-02-09,10,14
2020-02-16,10,10
2020-02-23,12,14
2020-03-01,18,14
2020-03-08,32,21
2020-03-15,24,19
2020-03-22,15,16
2020-03-29,18,11
2020-04-05,14,13
2020-04-12,16,12
2020-04-19,28,12
2020-04-26,14,11
2020-05-03,16,8
2020-05-10,18,9
2020-05-17,18,12
2020-05-24,17,15
2020-05-31,13,10
2020-06-07,18,9
2020-06-14,17,10
2020-06-21,19,15
2020-06-28,23,23
2020-07-05,24,17
2020-07-12,26,16
2020-07-19,32,17
2020-07-26,33,17
2020-08-02,27,17
2020-08-09,28,19
2020-08-16,23,23
2020-08-23,22,17
2020-08-30,22,21
2020-09-06,24,14
2020-09-13,28,23
2020-09-20,26,19
2020-09-27,22,15
2020-10-04,19,17
2020-10-11,16,19
2020-10-18,22,14
2020-10-25,25,15
2020-11-01,17,15
2020-11-08,19,13
2020-11-15,28,21
2020-11-22,26,20
2020-11-29,26,29
2020-12-06,27,17
2020-12-13,28,17
2020-12-20,24,24
2020-12-27,36,25
2021-01-03,28,14
2021-01-10,34,22
2021-01-17,35,16
2021-01-24,31,21
2021-01-31,28,20
2021-02-07,30,18
2021-02-14,28,19
2021-02-21,30,26
2021-02-28,30,21
2021-03-07,32,21
2021-03-14,29,20
2021-03-21,34,26
2021-03-28,34,27
2021-04-04,36,23
2021-04-11,31,26
2021-04-18,33,24
2021-04-25,34,26
2021-05-02,38,25
2021-05-09,32,26
2021-05-16,40,24
2021-05-23,38,31
2021-05-30,42,26
2021-06-06,44,36
2021-06-13,38,26
2021-06-20,45,30
2021-06-27,49,24
2021-07-04,51,29
2021-07-11,49,37
2021-07-18,53,36
2021-07-25,53,35
2021-08-01,47,34
2021-08-08,40,34
2021-08-15,42,38
2021-08-22,42,39
2021-08-29,42,34
2021-09-05,44,28
2021-09-12,57,31
2021-09-19,59,48
2021-09-26,52,41
2021-10-03,53,38
2021-10-10,52,40
2021-10-17,51,38
2021-10-24,42,36
2021-10-31,47,28
2021-11-07,49,36
2021-11-14,43,30
2021-11-21,42,38
2021-11-28,44,27
2021-12-05,51,36
2021-12-12,41,27
2021-12-19,40,26
2021-12-26,53,41
2022-01-02,46,36
2022-01-09,40,34
2022-01-16,40,28
2022-01-23,38,36
2022-01-30,49,39
2022-02-06,42,33
2022-02-13,46,36
2022-02-20,56,46
2022-02-27,55,47
2022-03-06,70,51
2022-03-13,54,54
2022-03-20,63,42
2022-03-27,56,38
2022-04-03,62,46
2022-04-10,58,46
2022-04-17,62,48
2022-04-24,61,41
2022-05-01,53,40
2022-05-08,69,51
2022-05-15,69,42
2022-05-22,54,50
2022-05-29,55,37
2022-06-05,55,48
2022-06-12,57,49
2022-06-19,56,37
2022-06-26,61,50
2022-07-03,61,42
2022-07-10,72,45
2022-07-17,74,48
2022-07-24,76,52
2022-07-31,75,41
2022-08-07,75,48
2022-08-14,86,53
2022-08-21,81,54
2022-08-28,80,42
2022-09-04,76,44
2022-09-11,82,55
2022-09-18,85,39
2022-09-25,78,51
2022-10-02,79,45
2022-10-09,76,63
2022-10-16,78,47
2022-10-23,80,60
2022-10-30,74,45
2022-11-06,68,48
2022-11-13,82,44
2022-11-20,74,45
2022-11-27,64,41
2022-12-04,65,48
2022-12-11,72,52
2022-12-18,79,50
2022-12-25,81,52
2023-01-01,78,45
2023-01-08,71,48
2023-01-15,80,56
2023-01-22,78,58
2023-01-29,76,49
2023-02-05,84,53
2023-02-12,74,44
2023-02-19,94,63
2023-02-26,90,64
2023-03-05,100,59
2023-03-12,86,50
2023-03-19,91,64
2023-03-26,90,62
2023-04-02,88,63
2023-04-09,88,66
2023-04-16,90,53
2023-04-23,89,67
2023-04-30,87,54
2023-05-07,86,53
2023-05-14,92,61
2023-05-21,76,61
2023-05-28,94,49
2023-06-04,87,61
2023-06-11,83,57
2023-06-18,77,58
2023-06-25,78,48
2023-07-02,92,58
2023-07-09,85,56
2023-07-16,96,53
2023-07-23,92,51
2023-07-30,98,50
2023-08-06,89,52
2023-08-13,86,59
2023-08-20,97,59
2023-08-27,89,63
2023-09-03,98,42
2023-09-10,79,52
2023-09-17,94,52
2023-09-24,93,47
2023-10-01,97,60
2023-10-08,95,62
2023-10-15,96,72
2023-10-22,89,58
2023-10-29,81,49
2023-11-05,90,63
2023-11-12,85,69
2023-11-19,98,53
2023-11-26,87,53
2023-12-03,81,61
2023-12-10,88,63
2023-12-17,74,51
2023-12-24,77,69
2023-12-31,97,66
